Animal_ID,Epoch,Sleep_State,Tot_Mov,AVG_Amp,STDEV_Amp,AVG_Freq,STDEV_Freq,
AAL,1120,Non-REM Sleep,15,0.650106171,0.07140451,1.50242528,0.194409301,
AAL,1120,REM Sleep,64,4.325009713,0.749473167,6.672311638,1.211383452,
AAL,1130,Non-REM Sleep,15,0.628985616,0.067596201,1.494757139,0.136905773,
AAL,1130,REM Sleep,70,3.828688028,0.417486472,7.092332145,0.469352009,
AAL,1140,Non-REM Sleep,14.5,0.591918824,0.036231651,1.442492189,0.097002507,
AAL,1140,REM Sleep,66,3.310267798,0.331089916,6.574168175,0.415952122,
AAL,1150,Non-REM Sleep,14.5,0.58816067,0.151436572,1.514010902,0.652892911,
AAL,1150,REM Sleep,62,3.365227321,1.41039541,6.500698501,1.295884066,
AAL,1160,Non-REM Sleep,14.5,0.57607959,0.050020809,1.431532156,0.10591407,
AAL,1160,REM Sleep,66,4.217106715,2.391492091,7.085520908,2.161756288,
AAL,1170,Non-REM Sleep,15,0.673382761,0.23296644,1.543622822,0.355711248,
AAL,1170,REM Sleep,62,4.720545949,1.967597517,6.701998899,1.930895378,
AAL,1180,Non-REM Sleep,15.5,0.574221427,1.092752035,1.722110318,1.115565125,
AAL,1180,REM Sleep,68,4.219776293,1.769426129,7.229499482,1.974111692,
AAL,1190,Non-REM Sleep,15.5,0.518457168,0.086606892,1.518383394,0.196889037,
AAL,1190,REM Sleep,66,3.681171792,1.43189959,6.750472009,1.754587209,
AAL,1200,Non-REM Sleep,15,0.527283242,0.070391733,1.526119107,0.169789618,
AAL,1200,REM Sleep,68,3.442885773,1.733082154,7.69714745,2.300066698,
AAL,1210,Non-REM Sleep,15,0.488469237,0.035573061,1.49950501,0.078947893,
AAL,1210,REM Sleep,78,1.268124176,1.031915257,8.585276305,3.270118104,
AAL,1220,Non-REM Sleep,15,0.492517234,0.029698216,1.486052387,0.080309167,
AAL,1220,REM Sleep,80,1.25854802,1.014819454,9.618026471,4.676338678,
AAL,1230,Non-REM Sleep,15.5,0.528234617,0.058413764,1.55714102,0.119231859,
AAL,1230,REM Sleep,78,1.53380176,0.821924329,9.037409594,4.257143699,
AAL,1240,Non-REM Sleep,15,0.481497898,0.04309618,1.500579759,0.091547798,
AAL,1240,REM Sleep,72,2.200201637,0.686886724,7.228127953,1.067810269,
AAL,1250,Non-REM Sleep,14.5,0.461413064,0.030389127,1.456106752,0.078374188,
AAL,1250,REM Sleep,88,1.881241784,1.001569901,9.718398796,2.892252987,
AAL,1260,Non-REM Sleep,14.5,0.470278206,0.044831564,1.472564069,0.153346574,
AAL,1260,REM Sleep,90,1.619325621,1.424150043,10.04721768,4.027032405,
AAL,1270,Non-REM Sleep,15,0.489919247,0.022865512,1.486807564,0.113027844,
AAL,1270,REM Sleep,76,1.922947841,2.015975238,9.004748687,3.915689826,
AAL,1280,Non-REM Sleep,16,0.522583617,0.061126436,1.581521324,0.215752675,
AAL,1280,REM Sleep,102,0.573618749,0.560285848,11.36939199,3.96227292,
AAL,1290,Non-REM Sleep,15.5,0.633485304,0.476896026,1.568840451,0.281036904,
AAL,1290,REM Sleep,92,0.790860799,0.776302252,10.10243534,2.738571163,
AAL,1300,Non-REM Sleep,15,0.48432094,0.037410935,1.495089211,0.092340891,
AAL,1300,REM Sleep,96,1.002968956,1.021263464,10.64555533,3.598043239,
AAL,1310,Non-REM Sleep,15.5,0.531976884,0.04727915,1.567734583,0.161359738,
AAL,1310,REM Sleep,104,1.026416231,1.168468959,10.94988755,2.623622628,
AAL,1320,Non-REM Sleep,15,0.503410957,0.142651829,1.553103569,0.498221291,
